participant_id,extra_incentive,show_debate,exploratory_calibration_1,exploratory_calibration_2,brier_score
03MSi5HlM6,True,False,0.4583333333333333,0.25,0.38111724305
73P6jrNg0W,False,True,0.1875,0.25,0.31404389304999997
6OyV3lBL1x,True,True,0.25,0.25,0.6302770558749999
2w9Nzr56yA,True,True,0.125,0.5,0.45191389445
1FW5uvKNNa,False,False,0.375,0.25,0.320649312225
7QWrVyDbBY,True,False,0.4583333333333333,0.25,0.442968272225
4r4g2RT9G5,True,True,0.10416666666666669,0.25,0.42192394445
5zkB0QyYo7,False,True,0.125,0.25,0.25919346945
5VpB4v8eXV,True,False,0.375,0.0,0.18987895984999997
2wu2p4Ak3W,True,False,0.4583333333333333,0.25,0.403887700675
1l953WD5fF,True,True,0.5,0.0,0.35286650392499996
60W9AX1MMU,False,True,0.1875,0.5,0.50661389445
39TIWbVIJA,False,False,0.375,0.25,0.283836587875
7F4loGB9xD,False,False,0.3125,0.25,0.2857557766750001
7mA1aX7hLD,True,True,0.10416666666666669,0.25,0.352823248425
7nPpf6LULs,True,False,None,0.5,0.58363601945
83RM7iN79X,True,False,0.4166666666666667,0.0,0.25041986390000004
DtUvDU8Akp,False,True,0.2916666666666667,0.25,0.47724316097499997
EjOXJ4yGGR,True,True,0.1875,0.5,0.521264841875
eo63gHItQX,True,False,0.4375,0.0,0.301970572225
Ce6HtT44Nv,True,False,0.4583333333333333,0.0,0.32430227567500003
DdgWqRBDNt,False,False,0.25,0.25,0.251674916875
BFI88p0CpU,False,True,0.2708333333333333,0.25,0.41586597905
cMCygr1Wa9,True,True,0.4166666666666667,0.25,0.290028513175
DY0xmq6lbl,True,False,0.4166666666666667,0.0,0.15102230645
DF8V5Zc5gy,False,True,0.25,0.25,0.24554704445000003
ByJeOqehD6,True,False,None,0.5,0.48543021335000003
BfjBihnzYp,False,True,0.375,0.25,0.25953130695000004
FLn158mgVp,True,False,0.5416666666666666,0.0,0.16825169185
bKhuzzo0O1,False,True,0.4583333333333333,0.25,0.249646916825
b6jy8zWkP1,False,False,0.125,0.5,0.274494211875
fZzmAWNpiI,True,True,0.1875,0.5,0.58616488485
EkuzQwuoG6,True,True,0.20833333333333334,0.25,0.39674604869999996
8YKWh2q0eJ,False,True,0.5833333333333334,0.25,0.15136533505
aHqMgTN1Fa,False,True,0.4166666666666667,0.0,0.28693945905000007
glfqLRGgxk,False,True,0.20833333333333334,0.5,0.42148215877499995
eaSvOyCrS1,False,False,0.4791666666666667,0.0,0.28036643145000006
e1Gnx1fjZ5,False,True,0.2916666666666667,0.25,0.546897829175
gqpvNrCT1M,True,False,0.2916666666666667,0.0,0.19919210972499996
cfgWKJiGP7,True,True,0.375,0.25,0.36997033057499995
H15WnAAUy4,False,True,0.5,0.0,0.293796928375
fDhsMDPM5i,True,False,0.22916666666666669,0.25,0.330976822225
amVIlQZcKp,False,False,0.375,0.25,0.2581624535
Ge5BI4N74O,True,True,0.6041666666666667,0.0,0.371241136875
GN852BOKMf,False,False,0.4375,0.25,0.28355054955000003
gR5zM3OXRf,False,False,0.3125,0.25,0.35531641805
h7aon13Ghl,True,True,0.0625,0.5,0.40636705067500006
HMv6DUgVhu,False,False,0.21875,0.5,0.5416017587749999
hRLmpIhQfr,True,False,0.5,0.0,0.27381091469999996
hTV3ZlfsdM,False,True,0.375,0.25,0.202724195025
hRR4Z96RyO,True,False,0.1875,0.25,0.43670213122499996
hw7AOXdyTM,True,False,0.3333333333333333,0.25,0.496892267675
eAoDv1NoXI,False,False,0.25,0.25,0.334983227925
7qQWTfwW5g,False,False,0.2916666666666667,0.25,0.5190886173
87oii2Tu9T,True,True,0.25,0.25,0.39100732167499996
8V4Nbop5IY,False,False,0.4166666666666667,0.0,0.238222853275
8yWLFoIzjA,True,True,0.4375,0.0,0.40526044105000003
9RJN7U4KQg,False,False,0.22916666666666669,0.25,0.332904512175
aGQ2HOnCvV,False,False,0.375,0.0,0.25879524187499997
A8FIC0Zcs2,False,False,None,0.0,0.22394354242500003
BJNGz5dmRR,False,True,0.1875,0.5,0.49326369167499995
bOkFLJMf7Q,True,False,0.0625,0.5,0.30376092785000003
bKwNGsBVe0,True,False,0.22916666666666669,0.25,0.45157729369999994
DR9YmfmmHC,True,True,0.4375,0.25,0.396530786875
h8EDTxQPnm,False,True,0.21875,0.5,0.5363174034
i2t8cM8TiX,False,True,0.5416666666666666,0.25,0.683540135925
GA0nQ05M9Q,True,True,0.25,0.5,0.417802750675
hdQiGOnIry,True,True,0.5625,0.25,0.3362483423
if7c5RYWsm,True,True,0.0625,0.5,0.301001837825
ITelIgZYFL,True,True,0.25,0.25,0.19129636165
ihtlUcqnkT,True,False,0.1875,0.25,0.480096411675
jQVYHyCwr4,False,True,0.39583333333333337,0.0,0.31111664955
jSFqhn11LU,False,True,0.125,0.25,0.49470805770000004
JorCQLdGNY,False,True,0.3125,0.25,0.2508428224
JjG977sNhR,False,False,0.21875,0.5,0.53526438945
IZUpcNPO7G,False,False,0.2916666666666667,0.0,0.205035641875
jVm294idAe,True,True,0.25,0.5,0.60863511735
JVTP16kykI,False,True,0.2916666666666667,0.5,0.68322725285
k2BuT8RjaN,False,True,0.14583333333333331,0.25,0.4976325506750001
KI9H7vocVC,False,False,0.125,0.25,0.22602245895
kwu8xD37Ui,True,True,0.4791666666666667,0.0,0.23662901125
kzh7ORF02T,False,False,0.5,0.25,0.50783677125
L4rGpalCGE,False,True,0.1875,0.5,0.36817600645
K2JisvhwTN,False,False,0.125,0.25,0.237655316675
KYfCDGqidU,True,False,0.375,0.25,0.2969910077
l5V407UvvZ,False,False,0.5,0.25,0.4108070032249999
liHEi5ZHKT,True,False,0.5,0.0,0.3182146057
LY3ALNhW2P,True,True,0.10416666666666669,0.25,0.41887676390000006
LotUA7RG0e,True,True,0.2916666666666667,0.0,0.288955297225
lSz4mxZinc,True,True,0.7708333333333334,0.25,0.1799515339749999
lWC6FUG1wt,False,True,0.20833333333333334,0.25,0.321677289475
mDZO2jSAFS,False,False,0.5416666666666666,0.25,0.22023430537499997
M1tfv5Htlt,True,True,0.22916666666666669,0.25,0.39482197285
mfkt6heOWS,True,False,0.125,0.25,0.4311315916749999
LwvdGTqVb5,False,True,0.375,0.0,0.245262298425
HVkc7AggGE,True,False,0.5416666666666666,0.25,0.43509469512499993
EmcJxp6thh,True,False,0.2916666666666667,0.25,0.32204524167500004
gypjZdd1mh,True,True,0.6458333333333334,0.25,0.143257591675
5JKRJC5jyO,False,False,0.39583333333333337,0.0,0.22995393787499996
KeUQhb8LkB,True,True,0.10416666666666669,0.25,0.30727349167500007
alchm66yEI,True,False,0.3125,0.25,0.280623698375
MSQzoLY6Zp,True,False,0.2916666666666667,0.0,0.278972988175
iGFcyuJLks,True,True,0.4791666666666667,0.0,0.28291270285000003
2HUkb66gwr,True,True,0.16666666666666666,0.5,0.489199216825
cqJVArmcGb,False,False,0.3541666666666667,0.25,0.38291769784999996
jMbaZdZV81,False,True,0.7083333333333334,0.0,0.38138397567500004
KE4qhyZRHG,False,False,0.4583333333333333,0.25,0.45477659784999996
LmDayKA4fN,True,False,0.4583333333333333,0.25,0.5543758293
OtLNddvEFt,True,True,0.5625,0.25,0.295172775675
N70cYRHB62,False,True,0.2916666666666667,0.0,0.246944880375
mxOYasFW5C,False,True,0.3333333333333333,0.0,0.34653593687500006
MzLZyDmBW3,True,False,0.45833333333333337,0.0,0.29698073835
NlhQ1VXCLX,False,True,0.3125,0.0,0.3193737848499999
obhX2qNEih,False,False,0.4375,0.0,0.272643486875
NLzygSiTOL,False,False,0.3333333333333333,0.25,0.32846642567499995
nh2riUHl5Y,True,True,0.375,0.25,0.39676776444999995
MT6SZJmLl0,False,False,0.125,0.25,0.312352298075
P1Hqgegmcs,True,True,0.22916666666666669,0.25,0.254669816675
Ou7yE1uHOi,False,False,0.0625,0.5,0.30996989445000006
oOFlHgqsHg,True,True,0.22916666666666669,0.25,0.355128470475
opa4tLW0rC,True,False,0.375,0.0,0.2301694535
o8o2rjWIz9,False,True,0.5,0.0,0.31394260905
OX9gnNFgnA,True,True,0.25,0.25,0.3253294124999999
R6PqUtJvXA,False,False,0.3333333333333333,0.25,0.46947268932499997
S7Oti4NVRj,False,True,0.4791666666666667,0.0,0.267190520125
qXi4S7JluU,False,False,0.3125,0.25,0.309858135925
PxN747N0Ag,False,False,0.4375,0.25,0.23512231325
pLxWXv7ri2,True,False,0.2916666666666667,0.25,0.227833650675
q8cz7r3nrS,False,True,0.25,0.5,0.41064212725
QbJ9AHQQME,True,False,0.5833333333333334,0.25,0.22126893404999998
rRxWkWdkUx,True,True,0.1875,0.25,0.229183347225
qnv7Qa16NC,True,False,0.25,0.25,0.261762682825
rvcnUKl0ZY,True,True,0.375,0.25,0.384287714325
sAI8Z5YhBY,False,True,0.25,0.25,0.33015372325000003
PKEAsaPTmq,True,True,0.5833333333333334,0.0,0.29732077025000003
RU7Y3xSOj6,True,True,0.4791666666666667,0.0,0.325857161425
Qhwr0yeFBo,True,False,0.125,0.5,0.34088046944999995
RE2hIEA0kH,False,False,0.5833333333333334,0.25,0.17396485430000003
SlzKk2kfmp,True,True,0.5625,0.25,0.1527293723
Sw4Tf0lru3,True,True,0.25,0.25,0.316328623375
t1gjQh1c1n,False,False,0.6458333333333334,0.25,0.23972818405
tLM3v5Ps8y,False,True,0.39583333333333337,0.0,0.49159825899999987
UQfWBjEUT0,True,False,0.1875,0.5,0.39123505984999996
UY52C9TEWa,True,False,0.20833333333333334,0.5,0.34038830769999995
TYOD9A4YIB,False,True,0.25,0.5,0.688929091825
TQLaOedRxH,True,False,0.3333333333333333,0.0,0.275405742225
uOL7CfavNk,True,False,0.3541666666666667,0.0,0.2321226509
UzvLY5fBEG,False,False,0.5416666666666666,0.0,0.239276280425
VbEG2rhgmk,True,False,0.10416666666666669,0.25,0.29024421167500003
W2zCYY4u0F,False,False,0.125,0.25,0.3084504114
wt1NK8dwxX,False,False,0.10416666666666669,0.25,0.4433423944499999
W1KDrcyUav,True,True,0.4375,0.25,0.48104221945
wrZrS3clAy,False,False,0.2916666666666667,0.25,0.38089876454999994
WVLh5y4KZn,False,False,0.4583333333333333,0.25,0.40485021900000007
VRrHS8KNTi,True,True,0.4583333333333333,0.25,0.35487300315000003
Xbs43NHTUa,False,True,0.3125,0.5,0.683422042425
XAn2lIuJlP,True,False,0.25,0.5,0.54521837285
XAERjVKLuO,False,True,0.2916666666666667,0.25,0.5240061223
WYDqmMJJ7g,True,False,0.375,0.5,0.33895564445000004
XPw7LWc5zo,True,True,0.25,0.25,0.2992441793
wzUzStBcrP,True,True,0.2916666666666667,0.25,0.24585276945000004
xAldm7vzsm,True,False,0.5,0.25,0.24231144842499996
xroql2uiLe,False,True,0.4375,0.5,0.643036854375
xhIlj2xUp7,False,False,0.5416666666666667,0.0,0.3189067754249999
xwkeerVH8e,False,True,0.2916666666666667,0.25,0.25219936945
nXkBDlJqB3,True,False,0.0625,0.5,0.2850602389
xXGKxkeFNy,False,False,0.2916666666666667,0.5,0.538700925675
sOSmJw5P2x,False,False,0.2916666666666667,0.25,0.251259172425
0cSYPDbcWV,False,True,0.5,0.25,0.394359873375
Xeofp7iHln,False,False,0.625,0.0,0.27300195785
5miBHp5Xm9,False,False,0.375,0.25,0.279650399625
1ko7pKtbag,True,False,0.375,0.0,0.239381741175
XMmEZcCGQb,True,False,0.22916666666666669,0.25,0.3700087535
TmNVoV8bzE,True,False,0.5,0.0,0.12617383667499998
QkYelqhbQM,True,True,0.4375,0.25,0.4259000312250001
SgizXYz4Xh,True,False,0.20833333333333334,0.5,0.473843573375
QsShfelxBa,False,True,0.25,0.25,0.272937091675
MXdie5EgTL,True,True,0.1875,0.5,0.50096588825
ruk93YQicU,False,True,0.5,0.0,0.34545369822500005
pCBJA20OxZ,False,True,0.1875,0.5,0.30445649955
Xr4ZhRKEqd,False,False,None,0.0,0.32235419955
yRhPuu8PJn,False,True,0.0,0.25,0.272640330375
zH6NHqH305,False,False,0.2916666666666667,0.25,0.404613441675
zOX8q7veaT,True,False,0.10416666666666669,0.25,0.250403172625
oxEgmUEqdJ,False,True,0.375,0.5,0.46338862545
rpP7Qk4Yuc,True,True,0.125,0.25,0.35118168824999996
Ul6aAo3MXG,False,False,0.5,0.0,0.29475222849999994
uG0TrSmv78,False,True,0.21875,0.5,0.561618284225
ziOwS5JicX,False,True,0.5,0.0,0.48949803270000014
ZnRzYQaJHG,True,False,0.3125,0.25,0.494588033075
jXSOd4glok,False,True,0.25,0.5,0.4082132098499999
yEQXNTK9oY,True,True,0.39583333333333337,0.0,0.21302686085
